metric,bead_position,n_bioreactors,mean,sd,median,minimum,maximum
retained_asvs,Bottom,5,741.8,174.70460783848833,835,532,910
retained_asvs,Top,5,704,243.54876308452071,719,313,977
Shannon,Bottom,5,5.759961267522444,0.4532501073403117,5.981297723596034,5.003592138811449,6.12269147571033
Shannon,Top,5,5.863448695975848,0.30636575327332705,5.95900148684041,5.336268347761405,6.108920680776295
Simpson,Bottom,5,0.9902861687781914,0.007846259436458338,0.9931321716384485,0.976311472448489,0.9947442704459768
Simpson,Top,5,0.9944787800313566,0.0010227428771063436,0.9949272556109695,0.9930272481182842,0.99546850453492
