term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),-30.993079300270896,14.372326241476337,-2.156441398528069,0.03696546697755095,-60.01858098548207,-1.9675776150597244
beadsmixed,-8.429555400696787,4.132791329078132,-2.0396760275281305,0.04786147133925881,-16.77589681205494,-0.083213989338633
influent_doc,0.5177358902406114,0.2111494392511145,2.4519879952173667,0.018554098185046053,0.09131094678726331,0.9441608336939595
water_labSanta Barbara Channel,9.708270995646252,4.287478567294823,2.264331084871561,0.02890802785094254,1.0495323691050675,18.36700962218744
water_labUCSB intake,3.4936755528110295,2.3755030979462886,1.4707097438986474,0.14900322984373748,-1.3037502789019113,8.29110138452397
trt_lab75 m,-2.3703640670372814,1.8410342735220047,-1.2875176204637615,0.2051345002124978,-6.088408210401743,1.3476800763271806
trt_labambient,-0.04011660833056565,2.6168763063642446,-0.015329959705394572,0.9878432978819345,-5.3250055236104545,5.244772306949323
trt_labdiatom exudate,NA,NA,NA,NA,NA,NA
trt_labsurface,-3.5688158022046124,3.6823297527589234,-0.9691733336838553,0.33814154805273744,-11.005431604576518,3.867800000167293
beadsmixed:influent_doc,0.13431120297379534,0.0627311409787997,2.1410610564087538,0.03826278154620096,0.007623093644575474,0.2609993123030152
