treatment,beads,hours_elapsed,mean_effluent_doc,sd_effluent_doc,mean_doc_removal,sd_doc_removal,n_bioreactors,influent_n_vials,effluent_n_vials_min,effluent_n_vials_max
ambient,homogeneous,3,54.70486842105262,1.302565123238374,8.159064327485389,1.302565123238374,2,6,2,2
ambient,homogeneous,4,55.74960526315789,0.19228342295423204,7.114327485380123,0.19228342295423204,2,6,1,2
ambient,homogeneous,5,55.98381578947368,0.41185868658584435,6.880116959064331,0.41185868658584435,2,6,2,2
ambient,homogeneous,6,56.524166666666666,1.394364950971365,6.339766081871346,1.394364950971365,2,6,2,2
ambient,mixed,3,57.729740918803415,0.7795361216205823,5.134191829734593,0.7795361216205823,2,6,2,2
ambient,mixed,4,59.16984508547009,0.7513009550107067,3.6940876630679256,0.7513009550107067,2,6,2,2
ambient,mixed,5,57.16984508547009,1.2595339539885428,5.694087663067929,1.2595339539885428,2,6,2,2
ambient,mixed,6,58.44762286324786,0.036828478186801024,4.416309885290151,0.036828478186801024,2,6,2,2
diatom exudate,homogeneous,3,61.528460648148155,0.7844465853788212,9.835880703512789,0.7844465853788212,2,6,2,2
diatom exudate,homogeneous,4,62.63436342592593,0.42598273102730355,8.729977925735007,0.42598273102730355,2,6,1,2
diatom exudate,homogeneous,5,62.29929398148148,0.5291024699503434,9.065047370179453,0.5291024699503434,2,6,2,2
diatom exudate,mixed,3,59.75237113402061,0.8395374326458921,11.611970217640327,0.8395374326458921,2,6,2,2
diatom exudate,mixed,4,60.04189003436426,0.2235526593441998,11.322451317296682,0.2235526593441998,2,6,2,2
diatom exudate,mixed,5,59.96113402061855,0.5661714089912961,11.403207331042388,0.5661714089912961,2,6,2,2
diatom exudate,mixed,6,60.13982817869416,0.7970138289662826,11.224513172966784,0.7970138289662826,2,6,1,2
