exp,date,water_lab,treatment,beads,bioreactor,flow_rate_ml_min,hours_elapsed,effluent_mean,effluent_sd,effluent_se,effluent_n_vials,influent_mean,influent_sd,influent_se,influent_n_vials,doc_removal,delta_doc,exceeds_detection_limit
BR15-1,2015-03-10,UCSB intake,ambient,mixed,5,4,5,56.27922008547008,0.1939633184504777,0.13715277777777857,2,62.86393274853801,1.0216460966971324,0.41708527243568283,6,6.584712663067933,-6.584712663067933,TRUE
BR15-1,2015-03-10,UCSB intake,ambient,mixed,5,4,6,58.47366452991453,0.4394865063624778,0.31076388888889284,2,62.86393274853801,1.0216460966971324,0.41708527243568283,6,4.390268218623483,-4.390268218623483,TRUE
BR15-1,2015-03-10,UCSB intake,ambient,mixed,7,4,3,57.178525641025644,0.18414239093399506,0.13020833333333212,2,62.86393274853801,1.0216460966971324,0.41708527243568283,6,5.685407107512368,-5.685407107512368,TRUE
BR15-1,2015-03-10,UCSB intake,ambient,mixed,7,4,4,58.63859508547009,1.389661243581896,0.9826388888888892,2,62.86393274853801,1.0216460966971324,0.41708527243568283,6,4.225337663067926,-4.225337663067926,TRUE
BR15-1,2015-03-10,UCSB intake,ambient,mixed,7,4,5,58.06047008547009,0.22342610099991547,0.1579861111111107,2,62.86393274853801,1.0216460966971324,0.41708527243568283,6,4.803462663067926,-4.803462663067926,TRUE
BR15-1,2015-03-10,UCSB intake,ambient,mixed,7,4,6,58.421581196581194,1.9371779526256425,1.3697916666666643,2,62.86393274853801,1.0216460966971324,0.41708527243568283,6,4.442351551956818,-4.442351551956818,TRUE
BR15-1,2015-03-11,UCSB intake,diatom exudate,homogeneous,1,4,3,62.08314814814815,0.5548824046811147,0.39236111111111427,2,71.36434135166094,0.7227537506655458,0.2950629831355542,6,9.281193203512792,-9.281193203512792,TRUE
BR15-1,2015-03-11,UCSB intake,diatom exudate,homogeneous,1,4,4,62.935578703703705,0.2528888835493533,0.17881944444444284,2,71.36434135166094,0.7227537506655458,0.2950629831355542,6,8.428762647957235,-8.428762647957235,TRUE
BR15-1,2015-03-11,UCSB intake,diatom exudate,homogeneous,1,4,5,62.673425925925926,0.6285393610547167,0.44444444444444997,2,71.36434135166094,0.7227537506655458,0.2950629831355542,6,8.690915425735014,-8.690915425735014,TRUE
BR15-1,2015-03-11,UCSB intake,diatom exudate,homogeneous,3,4,3,60.973773148148155,0.856875925812866,0.6059027777777786,2,71.36434135166094,0.7227537506655458,0.2950629831355542,6,10.390568203512785,-10.390568203512785,TRUE
BR15-1,2015-03-11,UCSB intake,diatom exudate,homogeneous,3,4,4,62.33314814814816,NA,NA,1,71.36434135166094,0.7227537506655458,0.2950629831355542,6,9.031193203512778,-9.031193203512778,TRUE
BR15-1,2015-03-11,UCSB intake,diatom exudate,homogeneous,3,4,5,61.92516203703705,0.2921725936152838,0.20659722222222854,2,71.36434135166094,0.7227537506655458,0.2950629831355542,6,9.439179314623892,-9.439179314623892,TRUE
BR15-1,2015-03-11,UCSB intake,diatom exudate,mixed,5,4,3,60.34601374570447,1.234399466813615,0.8728522336769656,2,71.36434135166094,0.7227537506655458,0.2950629831355542,6,11.018327605956472,-11.018327605956472,TRUE
BR15-1,2015-03-11,UCSB intake,diatom exudate,mixed,5,4,4,60.19996563573883,0.6244894940375991,0.44158075601374236,2,71.36434135166094,0.7227537506655458,0.2950629831355542,6,11.164375715922112,-11.164375715922112,TRUE
BR15-1,2015-03-11,UCSB intake,diatom exudate,mixed,5,4,5,60.36147766323024,0.4398155580575979,0.3109965635738732,2,71.36434135166094,0.7227537506655458,0.2950629831355542,6,11.0028636884307,-11.0028636884307,TRUE
BR15-1,2015-03-11,UCSB intake,diatom exudate,mixed,5,4,6,59.57625429553264,0.39364707406261773,0.2783505154639201,2,71.36434135166094,0.7227537506655458,0.2950629831355542,6,11.788087056128298,-11.788087056128298,TRUE
BR15-1,2015-03-11,UCSB intake,diatom exudate,mixed,7,4,3,59.15872852233676,0.5710312494118122,0.40378006872851907,2,71.36434135166094,0.7227537506655458,0.2950629831355542,6,12.205612829324181,-12.205612829324181,TRUE
BR15-1,2015-03-11,UCSB intake,diatom exudate,mixed,7,4,4,59.88381443298969,0.5370123664681397,0.3797250859106569,2,71.36434135166094,0.7227537506655458,0.2950629831355542,6,11.480526918671252,-11.480526918671252,TRUE
BR15-1,2015-03-11,UCSB intake,diatom exudate,mixed,7,4,5,59.560790378006864,0.3717777921702428,0.2628865979381416,2,71.36434135166094,0.7227537506655458,0.2950629831355542,6,11.803550973654076,-11.803550973654076,TRUE
BR15-1,2015-03-11,UCSB intake,diatom exudate,mixed,7,4,6,60.70340206185567,0,0,1,71.36434135166094,0.7227537506655458,0.2950629831355542,6,10.66093928980527,-10.66093928980527,TRUE
