exp,date,water_lab,treatment,beads,bioreactor,flow_rate_ml_min,hours_elapsed,effluent_mean,effluent_sd,effluent_se,effluent_n_vials,influent_mean,influent_sd,influent_se,influent_n_vials,doc_removal,delta_doc,exceeds_detection_limit
BR15-1,2015-03-10,UCSB intake,ambient,homogeneous,1,4,3,55.62592105263157,1.1884356076784426,0.8403508771929821,2,62.86393274853801,1.0216460966971324,0.41708527243568283,6,7.238011695906444,-7.238011695906444,TRUE
BR15-1,2015-03-10,UCSB intake,ambient,homogeneous,1,4,4,55.61364035087719,NA,NA,1,62.86393274853801,1.0216460966971324,0.41708527243568283,6,7.250292397660822,-7.250292397660822,TRUE
BR15-1,2015-03-10,UCSB intake,ambient,homogeneous,1,4,5,56.27504385964912,0.096761980583416,0.06842105263157448,2,62.86393274853801,1.0216460966971324,0.41708527243568283,6,6.588888888888896,-6.588888888888896,TRUE
BR15-1,2015-03-10,UCSB intake,ambient,homogeneous,1,4,6,55.538201754385966,0.6872581697848174,0.48596491228069993,2,62.86393274853801,1.0216460966971324,0.41708527243568283,6,7.325730994152046,-7.325730994152046,TRUE
BR15-1,2015-03-10,UCSB intake,ambient,homogeneous,3,4,3,53.78381578947368,0.8311606024473388,0.5877192982456094,2,62.86393274853801,1.0216460966971324,0.41708527243568283,6,9.080116959064334,-9.080116959064334,TRUE
BR15-1,2015-03-10,UCSB intake,ambient,homogeneous,3,4,4,55.88557017543859,1.7739696440294088,1.2543859649122806,2,62.86393274853801,1.0216460966971324,0.41708527243568283,6,6.9783625730994245,-6.9783625730994245,TRUE
BR15-1,2015-03-10,UCSB intake,ambient,homogeneous,3,4,5,55.692587719298245,0.21585364899378728,0.15263157894736776,2,62.86393274853801,1.0216460966971324,0.41708527243568283,6,7.171345029239767,-7.171345029239767,TRUE
BR15-1,2015-03-10,UCSB intake,ambient,homogeneous,3,4,6,57.510131578947366,0.4540369858145148,0.32105263157894365,2,62.86393274853801,1.0216460966971324,0.41708527243568283,6,5.353801169590646,-5.353801169590646,TRUE
BR15-1,2015-03-10,UCSB intake,ambient,mixed,5,4,3,58.280956196581194,0.8495102301755028,0.6006944444444428,2,62.86393274853801,1.0216460966971324,0.41708527243568283,6,4.582976551956818,-4.582976551956818,TRUE
BR15-1,2015-03-10,UCSB intake,ambient,mixed,5,4,4,59.70109508547009,0.6383602885711892,0.4513888888888892,2,62.86393274853801,1.0216460966971324,0.41708527243568283,6,3.1628376630679256,-3.1628376630679256,TRUE
