exp,date,water_lab,trt_lab,stage,bioreactor,flow_rate_ml_min,hours_elapsed,duplicate_key_count
BR14-1,2014-09-19,UCSB intake,ambient,0,NA,NA,0,1
BR14-1,2014-09-19,UCSB intake,ambient,1,1,4,4,1
BR14-1,2014-09-19,UCSB intake,ambient,1,3,4,4,1
BR14-1,2014-09-19,UCSB intake,ambient,1,5,4,4,1
BR14-1,2014-09-19,UCSB intake,ambient,1,7,4,4,1
BR14-2,2014-09-30,UCSB intake,ambient,0,NA,NA,0,1
BR14-2,2014-09-30,UCSB intake,ambient,1,1,4,4,1
BR14-2,2014-09-30,UCSB intake,ambient,1,3,4,4,1
BR14-2,2014-09-30,UCSB intake,ambient,1,5,4,4,1
BR14-2,2014-09-30,UCSB intake,ambient,1,7,4,4,1
BR14-3,2014-10-14,UCSB intake,ambient,0,NA,NA,0,1
BR14-3,2014-10-14,UCSB intake,ambient,1,1,4,4,1
BR14-3,2014-10-14,UCSB intake,ambient,1,3,4,4,1
BR14-3,2014-10-14,UCSB intake,ambient,1,5,4,4,1
BR14-3,2014-10-14,UCSB intake,ambient,1,7,4,4,1
BR14-4,2014-10-16,UCSB intake,ambient,0,NA,NA,0,1
BR14-4,2014-10-16,UCSB intake,ambient,1,1,4,4,1
BR14-4,2014-10-16,UCSB intake,ambient,1,3,4,4,1
BR14-4,2014-10-16,UCSB intake,ambient,1,5,4,4,1
BR14-4,2014-10-16,UCSB intake,ambient,1,7,4,4,1
BR14-5,2014-10-24,UCSB intake,ambient,0,NA,NA,0,1
BR14-5,2014-10-24,UCSB intake,ambient,1,1,4,4,1
BR14-5,2014-10-24,UCSB intake,ambient,1,3,4,4,1
BR14-5,2014-10-24,UCSB intake,ambient,1,5,4,4,1
BR14-5,2014-10-24,UCSB intake,ambient,1,7,4,4,1
BR14-6,2014-10-30,UCSB intake,ambient,0,NA,NA,0,1
BR14-6,2014-10-30,UCSB intake,ambient,1,1,4,4,1
BR14-6,2014-10-30,UCSB intake,ambient,1,3,4,4,1
BR14-6,2014-10-30,UCSB intake,ambient,1,5,4,4,1
BR14-6,2014-10-30,UCSB intake,ambient,1,7,4,4,1
BR14-7,2014-11-03,UCSB intake,ambient,0,NA,NA,0,1
BR14-7,2014-11-03,UCSB intake,ambient,1,1,4,4,1
BR14-7,2014-11-03,UCSB intake,ambient,1,3,4,4,1
BR14-7,2014-11-03,UCSB intake,ambient,1,5,4,4,1
BR14-7,2014-11-03,UCSB intake,ambient,1,7,4,4,1
BR14-8,2014-11-15,UCSB intake,ambient,0,NA,NA,0,1
BR14-8,2014-11-15,UCSB intake,ambient,1,1,4,4,1
BR14-8,2014-11-15,UCSB intake,ambient,1,3,4,4,1
BR14-8,2014-11-15,UCSB intake,ambient,1,5,4,4,1
BR14-8,2014-11-15,UCSB intake,ambient,1,7,4,4,1
BR15-1,2015-03-10,UCSB intake,ambient,0,NA,NA,0,1
BR15-1,2015-03-10,UCSB intake,ambient,1,1,4,1,1
BR15-1,2015-03-10,UCSB intake,ambient,1,1,4,3,1
BR15-1,2015-03-10,UCSB intake,ambient,1,1,4,4,1
BR15-1,2015-03-10,UCSB intake,ambient,1,1,4,5,1
