sample_id,sample_group,sample_material,bead_position,treatment,hours_elapsed,Phylum_plot,relative_abundance
N-BR6-B_S101_F_filt.fastq,BR6 — bottom,Beads,Bottom,NA,0,Thermoproteota,0.06552160410995668
N-BR6-B_S101_F_filt.fastq,BR6 — bottom,Beads,Bottom,NA,0,Unclassified phylum,0.1640723843116206
N-BR6-B_S101_F_filt.fastq,BR6 — bottom,Beads,Bottom,NA,0,Verrucomicrobiota,0.05045431890503393
N-BR6-T_S102_F_filt.fastq,BR6 — top,Beads,Top,NA,0,Acidobacteriota,0.0428812098417176
N-BR6-T_S102_F_filt.fastq,BR6 — top,Beads,Top,NA,0,Bacteroidota,0.05530089327691584
N-BR6-T_S102_F_filt.fastq,BR6 — top,Beads,Top,NA,0,Other,0.11015123021469989
N-BR6-T_S102_F_filt.fastq,BR6 — top,Beads,Top,NA,0,Planctomycetota,0.238167998746278
N-BR6-T_S102_F_filt.fastq,BR6 — top,Beads,Top,NA,0,Pseudomonadota,0.12641043723554302
N-BR6-T_S102_F_filt.fastq,BR6 — top,Beads,Top,NA,0,Thermoproteota,0.08272606174580786
N-BR6-T_S102_F_filt.fastq,BR6 — top,Beads,Top,NA,0,Unclassified phylum,0.32328396803008935
N-BR6-T_S102_F_filt.fastq,BR6 — top,Beads,Top,NA,0,Verrucomicrobiota,0.02107820090894844
N-BR8-B_S103_F_filt.fastq,BR8 — bottom,Beads,Bottom,NA,0,Acidobacteriota,0.034838918568884575
N-BR8-B_S103_F_filt.fastq,BR8 — bottom,Beads,Bottom,NA,0,Bacteroidota,0.047790189412336086
N-BR8-B_S103_F_filt.fastq,BR8 — bottom,Beads,Bottom,NA,0,Other,0.11785656467540878
N-BR8-B_S103_F_filt.fastq,BR8 — bottom,Beads,Bottom,NA,0,Planctomycetota,0.2671523393232961
N-BR8-B_S103_F_filt.fastq,BR8 — bottom,Beads,Bottom,NA,0,Pseudomonadota,0.145572284280395
N-BR8-B_S103_F_filt.fastq,BR8 — bottom,Beads,Bottom,NA,0,Thermoproteota,0.11921644811397118
N-BR8-B_S103_F_filt.fastq,BR8 — bottom,Beads,Bottom,NA,0,Unclassified phylum,0.2386919216448114
N-BR8-B_S103_F_filt.fastq,BR8 — bottom,Beads,Bottom,NA,0,Verrucomicrobiota,0.028881333980896876
N-BR8-T_S104_F_filt.fastq,BR8 — top,Beads,Top,NA,0,Acidobacteriota,0.03729560140455858
N-BR8-T_S104_F_filt.fastq,BR8 — top,Beads,Top,NA,0,Bacteroidota,0.05354360157077853
N-BR8-T_S104_F_filt.fastq,BR8 — top,Beads,Top,NA,0,Other,0.08175943817656714
N-BR8-T_S104_F_filt.fastq,BR8 — top,Beads,Top,NA,0,Planctomycetota,0.2505350204658314
N-BR8-T_S104_F_filt.fastq,BR8 — top,Beads,Top,NA,0,Pseudomonadota,0.17126888154750775
N-BR8-T_S104_F_filt.fastq,BR8 — top,Beads,Top,NA,0,Thermoproteota,0.05535124353300505
N-BR8-T_S104_F_filt.fastq,BR8 — top,Beads,Top,NA,0,Unclassified phylum,0.328305179829209
N-BR8-T_S104_F_filt.fastq,BR8 — top,Beads,Top,NA,0,Verrucomicrobiota,0.021941033472542542
N-BR9-B_S105_F_filt.fastq,BR9 — bottom,Beads,Bottom,NA,0,Acidobacteriota,0.032578379982197606
N-BR9-B_S105_F_filt.fastq,BR9 — bottom,Beads,Bottom,NA,0,Bacteroidota,0.04883789931757492
N-BR9-B_S105_F_filt.fastq,BR9 — bottom,Beads,Bottom,NA,0,Other,0.12517060627039858
N-BR9-B_S105_F_filt.fastq,BR9 — bottom,Beads,Bottom,NA,0,Planctomycetota,0.2477301948373059
N-BR9-B_S105_F_filt.fastq,BR9 — bottom,Beads,Bottom,NA,0,Pseudomonadota,0.14210266046879635
N-BR9-B_S105_F_filt.fastq,BR9 — bottom,Beads,Bottom,NA,0,Thermoproteota,0.10121649688458115
N-BR9-B_S105_F_filt.fastq,BR9 — bottom,Beads,Bottom,NA,0,Unclassified phylum,0.2657699535159727
N-BR9-B_S105_F_filt.fastq,BR9 — bottom,Beads,Bottom,NA,0,Verrucomicrobiota,0.036593808723172784
N-BR9-T_S106_F_filt.fastq,BR9 — top,Beads,Top,NA,0,Acidobacteriota,0.01704520101735755
N-BR9-T_S106_F_filt.fastq,BR9 — top,Beads,Top,NA,0,Bacteroidota,0.038730980322163225
N-BR9-T_S106_F_filt.fastq,BR9 — top,Beads,Top,NA,0,Other,0.08696622194458078
N-BR9-T_S106_F_filt.fastq,BR9 — top,Beads,Top,NA,0,Planctomycetota,0.2486279059390478
N-BR9-T_S106_F_filt.fastq,BR9 — top,Beads,Top,NA,0,Pseudomonadota,0.15746731515773504
N-BR9-T_S106_F_filt.fastq,BR9 — top,Beads,Top,NA,0,Thermoproteota,0.0690286020257909
N-BR9-T_S106_F_filt.fastq,BR9 — top,Beads,Top,NA,0,Unclassified phylum,0.3607603409040203
N-BR9-T_S106_F_filt.fastq,BR9 — top,Beads,Top,NA,0,Verrucomicrobiota,0.021373432689304358
N-Control-A-T4_S122_F_filt.fastq,Batch 96 h — ambient — A,Batch culture water,NA,Ambient,96,Acidobacteriota,0
N-Control-A-T4_S122_F_filt.fastq,Batch 96 h — ambient — A,Batch culture water,NA,Ambient,96,Bacteroidota,0.11420225071560208
N-Control-A-T4_S122_F_filt.fastq,Batch 96 h — ambient — A,Batch culture water,NA,Ambient,96,Other,0.029173038466062815
N-Control-A-T4_S122_F_filt.fastq,Batch 96 h — ambient — A,Batch culture water,NA,Ambient,96,Planctomycetota,9.606712935733051e-4
N-Control-A-T4_S122_F_filt.fastq,Batch 96 h — ambient — A,Batch culture water,NA,Ambient,96,Pseudomonadota,0.5295651491981336
N-Control-A-T4_S122_F_filt.fastq,Batch 96 h — ambient — A,Batch culture water,NA,Ambient,96,Thermoproteota,0.003332941222601263
N-Control-A-T4_S122_F_filt.fastq,Batch 96 h — ambient — A,Batch culture water,NA,Ambient,96,Unclassified phylum,0.18995804415166842
N-Control-A-T4_S122_F_filt.fastq,Batch 96 h — ambient — A,Batch culture water,NA,Ambient,96,Verrucomicrobiota,0.13280790495235856
N-Control-B-T4_S123_F_filt.fastq,Batch 96 h — ambient — B,Batch culture water,NA,Ambient,96,Acidobacteriota,0
N-Control-B-T4_S123_F_filt.fastq,Batch 96 h — ambient — B,Batch culture water,NA,Ambient,96,Bacteroidota,0.13371967161246273
N-Control-B-T4_S123_F_filt.fastq,Batch 96 h — ambient — B,Batch culture water,NA,Ambient,96,Other,0.037484804582771314
N-Control-B-T4_S123_F_filt.fastq,Batch 96 h — ambient — B,Batch culture water,NA,Ambient,96,Planctomycetota,0.0015486836189239146
N-Control-B-T4_S123_F_filt.fastq,Batch 96 h — ambient — B,Batch culture water,NA,Ambient,96,Pseudomonadota,0.4903332167657491
N-Control-B-T4_S123_F_filt.fastq,Batch 96 h — ambient — B,Batch culture water,NA,Ambient,96,Thermoproteota,8.326256015719971e-4
N-Control-B-T4_S123_F_filt.fastq,Batch 96 h — ambient — B,Batch culture water,NA,Ambient,96,Unclassified phylum,0.18479292601288905
N-Control-B-T4_S123_F_filt.fastq,Batch 96 h — ambient — B,Batch culture water,NA,Ambient,96,Verrucomicrobiota,0.1512880718056319
N-Control-T0_S121_F_filt.fastq,Batch T0 — ambient,Batch culture water,NA,Ambient,0,Acidobacteriota,0
N-Control-T0_S121_F_filt.fastq,Batch T0 — ambient,Batch culture water,NA,Ambient,0,Bacteroidota,0.1369491525423729
N-Control-T0_S121_F_filt.fastq,Batch T0 — ambient,Batch culture water,NA,Ambient,0,Other,0.061148775894538605
N-Control-T0_S121_F_filt.fastq,Batch T0 — ambient,Batch culture water,NA,Ambient,0,Planctomycetota,0.001807909604519774
N-Control-T0_S121_F_filt.fastq,Batch T0 — ambient,Batch culture water,NA,Ambient,0,Pseudomonadota,0.7541431261770245
N-Control-T0_S121_F_filt.fastq,Batch T0 — ambient,Batch culture water,NA,Ambient,0,Thermoproteota,0.006610169491525424
N-Control-T0_S121_F_filt.fastq,Batch T0 — ambient,Batch culture water,NA,Ambient,0,Unclassified phylum,0.01847457627118644
N-Control-T0_S121_F_filt.fastq,Batch T0 — ambient,Batch culture water,NA,Ambient,0,Verrucomicrobiota,0.020866290018832393
