ASV,phylum,family,log2FoldChange,lfcSE,pvalue,padj,direction
ASV_241,Pseudomonadota,Unclassified family,-11.980444793481093,2.859916342022641,2.800762436297666e-5,0.0045486157061582705,Enriched at bottom
ASV_321,Chloroflexota,A4b_2,-11.902972743548355,2.8053673673651316,2.2062188745770976e-5,0.0045486157061582705,Enriched at bottom
ASV_323,Pseudomonadota,Kiloniellaceae_2,-11.801426196562822,2.83410623670142,3.1261963616208045e-5,0.0045486157061582705,Enriched at bottom
ASV_57,Thermoproteota,Nitrosopumilaceae_2,-10.737780040737773,2.4508974221904745,1.1804775121640856e-5,0.0045486157061582705,Enriched at bottom
ASV_406,Unclassified phylum,Unclassified family,-11.445047352719993,2.8298466589164324,5.2456064103754356e-5,0.0059415554246876594,Enriched at bottom
ASV_327,Elusimicrobiota,Incertae sedis (Elusimicrobiota),-11.253936133045654,2.8402193845651773,7.421641704857682e-5,0.0059415554246876594,Enriched at bottom
ASV_372,Unclassified phylum,Unclassified family,-11.146339282215445,2.8525021176387657,9.323071515813352e-5,0.0059415554246876594,Enriched at bottom
ASV_449,Planctomycetota,Phycisphaeraceae,-11.14551060106361,2.837076390479845,8.54703363786708e-5,0.0059415554246876594,Enriched at bottom
ASV_320,Nitrospirota,Nitrospiraceae,-11.059296317957664,2.8407017709180242,9.894830868120613e-5,0.0059415554246876594,Enriched at bottom
ASV_592,Unclassified phylum,Unclassified family,-10.937360614429045,2.814863878576136,1.0208858118020034e-4,0.0059415554246876594,Enriched at bottom
ASV_140,Pseudomonadota,Unclassified family,11.526805106638276,3.021775177957486,1.3641438492290842e-4,0.007217561093193881,Enriched at top
ASV_606,Unclassified phylum,Unclassified family,-10.716020238698807,2.8367827789117315,1.583940779261338e-4,0.007682112779417489,Enriched at bottom
ASV_172,Planctomycetota,Rubinisphaeraceae,-11.448627124254305,3.046844560229379,1.7159491087079997e-4,0.0076821721636004285,Enriched at bottom
ASV_624,Unclassified phylum,Unclassified family,-10.547182725288767,2.8408943152615254,2.0511856566390253e-4,0.008522300349764667,Enriched at bottom
ASV_663,Unclassified phylum,Unclassified family,-10.359289966358464,2.8454257731586923,2.719169738931224e-4,0.008522300349764667,Enriched at bottom
ASV_747,Planctomycetota,Pirellulaceae,-10.29842664398944,2.8217795409324684,2.6262722860216175e-4,0.008522300349764667,Enriched at bottom
ASV_124,Verrucomicrobiota,DEV007_2,-9.969040610442088,2.742681639295469,2.782194272259943e-4,0.008522300349764667,Enriched at bottom
ASV_242,Pseudomonadota,Unclassified family,-8.99912270450733,2.4504803069509475,2.4029131584958933e-4,0.008522300349764667,Enriched at bottom
ASV_131,Dadabacteria,Incertae sedis (Dadabacteria),-8.75077744613085,2.4047263229879285,2.737083641600468e-4,0.008522300349764667,Enriched at bottom
ASV_573,Planctomycetota,Pirellulaceae,-10.828220896248432,3.022625693578506,3.4046635913894736e-4,0.009205310921505753,Enriched at bottom
