exp,exp_lab,trt_lab,final_hours,n_bottles,mean_removal_24h,sd_removal_24h,mean_removal_final,sd_removal_final,mean_percent_final_by_24h,sd_percent_final_by_24h
BR16-3,16-3,Ambient,1680,2,0.833866600008335,0.4130342597302021,5.814848113906166,1.7854893395895801,13.905294526056554,2.8333793953261557
BR16-3,16-3,Diatom lysate,1680,2,11.354558011049718,1.4206595634170613,17.155718232504015,1.5620053608395226,66.08218803174242,2.264272696349215
