exp,date,water_lab,trt_lab,beads,bioreactor,flow_rate_ml_min,effluent_doc,effluent_sd,effluent_se,effluent_n_vials,influent_doc,influent_sd,influent_se,influent_n_vials,removal_doc,pct_removal,flow_rate_factor
BR15-1,2015-03-10,UCSB intake,ambient,homogeneous,1,4,55.61364035087719,NA,NA,1,62.86393274853801,1.0216460966971324,0.41708527243568283,6,7.250292397660822,11.533310247487558,4
BR15-1,2015-03-10,UCSB intake,ambient,homogeneous,3,4,55.88557017543859,1.7739696440294088,1.2543859649122806,2,62.86393274853801,1.0216460966971324,0.41708527243568283,6,6.9783625730994245,11.100741344028808,4
BR15-1,2015-03-10,UCSB intake,ambient,mixed,5,4,59.70109508547009,0.6383602885711892,0.4513888888888892,2,62.86393274853801,1.0216460966971324,0.41708527243568283,6,3.1628376630679256,5.031243711270167,4
BR15-1,2015-03-10,UCSB intake,ambient,mixed,7,4,58.63859508547009,1.389661243581896,0.9826388888888892,2,62.86393274853801,1.0216460966971324,0.41708527243568283,6,4.225337663067926,6.721402047768308,4
BR15-1,2015-03-11,UCSB intake,diatom exudate,homogeneous,1,4,62.935578703703705,0.2528888835493533,0.17881944444444284,2,71.36434135166094,0.7227537506655458,0.2950629831355542,6,8.428762647957235,11.810888306840743,4
BR15-1,2015-03-11,UCSB intake,diatom exudate,homogeneous,3,4,62.33314814814816,NA,NA,1,71.36434135166094,0.7227537506655458,0.2950629831355542,6,9.031193203512778,12.655050172760523,4
BR15-1,2015-03-11,UCSB intake,diatom exudate,mixed,5,4,60.19996563573883,0.6244894940375991,0.44158075601374236,2,71.36434135166094,0.7227537506655458,0.2950629831355542,6,11.164375715922112,15.6441935908966,4
BR15-1,2015-03-11,UCSB intake,diatom exudate,mixed,7,4,59.88381443298969,0.5370123664681397,0.3797250859106569,2,71.36434135166094,0.7227537506655458,0.2950629831355542,6,11.480526918671252,16.087203638717607,4
BR15-3,2015-03-19,UCSB intake,ambient,homogeneous,1,4,57.94291872645952,0.38084641976284656,0.21988178296998467,3,61.48623322740114,0.60274834179397,0.24607098011731646,6,3.5433145009416194,5.762776990805404,4
BR15-3,2015-03-19,UCSB intake,ambient,homogeneous,2,4,60.167965807438804,0.8546275476386445,0.4934194446860411,3,61.48623322740114,0.60274834179397,0.24607098011731646,6,1.318267419962332,2.1440041953567754,4
BR15-4,2015-04-06,UCSB intake,ambient,homogeneous,1,20,59.40949103045473,0.9754061627005883,0.6897163120567349,2,59.811973299958275,0.5875905428761499,0.23988283462192142,6,0.40248226950354393,0.6729125412483669,20
BR15-4,2015-04-06,UCSB intake,ambient,homogeneous,3,20,60.7889236545682,2.5500978598110584,1.8031914893617011,2,59.811973299958275,0.5875905428761499,0.23988283462192142,6,-0.9769503546099259,-1.6333692080522069,20
BR15-4,2015-04-06,UCSB intake,ambient,mixed,5,20,58.75346266166041,0.8751073284897269,0.6187943262411295,2,59.811973299958275,0.5875905428761499,0.23988283462192142,6,1.058510638297868,1.769730339758923,20
