ASV,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,domain,phylum,class,order,family,genus,species,direction,significant
ASV_456,26.503196839380184,2.1199453219803654,3.0412586914490425,0.6970618211271904,0.4857641058750382,0.8353407845601736,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,NA,NA,Not significant,FALSE
ASV_387,29.97770609247414,2.117895665640448,3.041553938867767,0.6963202718768304,0.48622828058326273,0.8353407845601736,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,NA,NA,Not significant,FALSE
ASV_645,19.13219104394108,2.113185891866327,3.04218987921745,0.6946265603940235,0.4872893626593951,0.8353407845601736,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Incertae Sedis_333,NA,Not significant,FALSE
ASV_515,24.141873862184973,-2.076291381102725,2.9949957089461856,-0.6932535411989907,0.4881504531476586,0.8353407845601736,NA,Unclassified phylum,NA,NA,Unclassified family,NA,NA,Not significant,FALSE
ASV_451,39.97088140745234,-1.876610815747511,2.721769915905773,-0.6894817981419994,0.4905201237391229,0.8353407845601736,Bacteria,Pseudomonadota,Alphaproteobacteria_2,Rhodobacterales_2,Paracoccaceae,Pikeienuella,NA,Not significant,FALSE
ASV_413,47.885553195286704,-1.7533001635899133,2.5449790997969797,-0.6889251718137014,0.4908703579374216,0.8353407845601736,Bacteria,Pseudomonadota,Gammaproteobacteria_2,Pseudomonadales_2,KI89A clade_2,Incertae Sedis_945,NA,Not significant,FALSE
ASV_775,20.506542151679444,1.6792751635528609,2.4079415721396362,0.6973903283129496,0.48555855259768005,0.8353407845601736,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,SM1A02,NA,Not significant,FALSE
ASV_73,212.1986997451211,-1.3502599007831022,1.9733936722688017,-0.6842324062135633,0.49382842203834804,0.8379246111554477,Bacteria,Pseudomonadota,Gammaproteobacteria_2,Burkholderiales_2,Nitrosomonadaceae_2,Nitrosomonas_2,NA,Not significant,FALSE
ASV_557,18.9391266609672,2.033298506617899,3.053910273996108,0.6658016523705144,0.5055378885900961,0.8484490175282028,NA,Unclassified phylum,NA,NA,Unclassified family,NA,NA,Not significant,FALSE
ASV_383,38.910646357231784,-1.5848375148889164,2.361125396529227,-0.671221239337213,0.5020796001334018,0.8484490175282028,NA,Unclassified phylum,NA,NA,Unclassified family,NA,NA,Not significant,FALSE
ASV_86,183.526748862912,-1.4539867998534988,2.183954543973295,-0.6657587282967177,0.5055653288107924,0.8484490175282028,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Rubinisphaeraceae,Fuerstia,NA,Not significant,FALSE
ASV_206,82.76164728321788,1.1136463417558142,1.6739151122199372,0.665294394934342,0.5058622149180179,0.8484490175282028,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,NA,NA,Not significant,FALSE
ASV_440,35.406291310028145,1.4513638978319794,2.2011669506380214,0.6593611163438979,0.5096639050457499,0.8523689446454782,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,NA,NA,Not significant,FALSE
ASV_473,29.45457256758763,1.9118063605908708,2.9351729912863136,0.6513436742115287,0.5148246615249353,0.8536408917592946,Bacteria,Actinomycetota,Acidimicrobiia_2,Actinomarinales_2,Incertae sedis (Actinomycetota),Incertae Sedis_120,NA,Not significant,FALSE
ASV_757,20.11327508152123,1.856771312726722,2.850437004634924,0.6513988240075251,0.5147890695766034,0.8536408917592946,Bacteria,Pseudomonadota,Alphaproteobacteria_2,NA,Unclassified family,NA,NA,Not significant,FALSE
ASV_553,29.083523820187494,-1.5840103653721354,2.4247598813061555,-0.6532648356582301,0.513585558114719,0.8536408917592946,Bacteria,Unclassified phylum,NA,NA,Unclassified family,NA,NA,Not significant,FALSE
ASV_444,26.93058248167476,1.6775569188404973,2.590904676953742,0.64747921209239,0.5173218442376892,0.855344640188452,Bacteria,Planctomycetota,Planctomycetes,NA,Unclassified family,NA,NA,Not significant,FALSE
ASV_819,22.663816283996923,-1.923896176277692,2.9946813660590936,-0.6424376890585455,0.5205890351028114,0.8583082675066183,NA,Unclassified phylum,NA,NA,Unclassified family,NA,NA,Not significant,FALSE
ASV_274,38.889989632497745,1.8841307849873459,2.9934379204549493,0.6294203638273519,0.529073889675026,0.8583586776775421,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Unclassified family,NA,NA,Not significant,FALSE
ASV_381,39.81280953765729,1.8816774951439685,2.9897685038276203,0.6293723051583995,0.5291053447805805,0.8583586776775421,Bacteria,Verrucomicrobiota,Verrucomicrobiia,Verrucomicrobiales_2,Rubritaleaceae_2,Roseibacillus_2,NA,Not significant,FALSE
ASV_585,19.695820179935012,1.8602765916121207,2.993285388532041,0.6214832032853481,0.5342817426788333,0.8583586776775421,Bacteria,Acidobacteriota,AT-s3-28,Incertae Sedis_17,Incertae sedis (Acidobacteriota),Incertae Sedis_91,NA,Not significant,FALSE
ASV_212,60.02114255396183,1.851790871877205,2.95693205796308,0.6262541159477416,0.5311482770042302,0.8583586776775421,NA,Unclassified phylum,NA,NA,Unclassified family,NA,NA,Not significant,FALSE
ASV_448,35.5817568533344,1.8388451874470533,2.927191235938139,0.6281944154761449,0.5298765882184757,0.8583586776775421,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Unclassified family,NA,NA,Not significant,FALSE
ASV_674,26.790790573233508,1.7439586039253574,2.813596389389276,0.6198325426142248,0.5353680412318691,0.8583586776775421,Bacteria,Unclassified phylum,NA,NA,Unclassified family,NA,NA,Not significant,FALSE
ASV_412,43.8745972737922,-1.7122849471559929,2.694547748603221,-0.6354628334359983,0.5251265993466888,0.8583586776775421,NA,Unclassified phylum,NA,NA,Unclassified family,NA,NA,Not significant,FALSE
ASV_534,37.02682391664095,-1.611824932104107,2.554968961340102,-0.6308589092443189,0.5281327812373888,0.8583586776775421,Bacteria,Pseudomonadota,Alphaproteobacteria_2,Puniceispirillales_2,EF100-94H03_2,Incertae Sedis_807,NA,Not significant,FALSE
ASV_40,304.1448852551439,1.4630089259770318,2.292649315199394,0.6381302697616414,0.5233888837407126,0.8583586776775421,NA,Unclassified phylum,NA,NA,Unclassified family,NA,NA,Not significant,FALSE
ASV_442,41.07844494312337,-1.3830018801626247,2.2157525068266617,-0.6241680313580333,0.5325172392945561,0.8583586776775421,NA,Unclassified phylum,NA,NA,Unclassified family,NA,NA,Not significant,FALSE
ASV_143,59.05031555082704,1.8455044489748815,3.0432669777179484,0.6064221320335057,0.5442344755266677,0.8666454945070812,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Unclassified family,NA,NA,Not significant,FALSE
ASV_560,29.03030126615456,1.799631336289494,2.951724579043607,0.6096880952465408,0.5420684420857103,0.8666454945070812,Bacteria,Planctomycetota,OM190,Incertae Sedis_134,Incertae sedis (Planctomycetota),Incertae Sedis_714,NA,Not significant,FALSE
ASV_336,50.96572215835209,-1.577011101833154,2.6054947296693083,-0.6052635930809616,0.5450038676797109,0.8666454945070812,Bacteria,Pseudomonadota,Alphaproteobacteria_2,Parvibaculales_2,PS1 clade_2,Incertae Sedis_801,NA,Not significant,FALSE
ASV_697,21.506524754320335,1.8326127214315613,3.0453448883209604,0.6017750989254834,0.5473238526179252,0.8679631668218868,Bacteria,Pseudomonadota,Gammaproteobacteria_2,NA,Unclassified family,NA,NA,Not significant,FALSE
ASV_293,36.01707696315209,1.7832319336491294,2.9908679167848478,0.5962255717283849,0.5510245447249642,0.8691720178354253,NA,Unclassified phylum,NA,NA,Unclassified family,NA,NA,Not significant,FALSE
ASV_426,39.64076290445112,-1.7060454317023395,2.8617574012350917,-0.5961530599924493,0.5510729803801924,0.8691720178354253,Bacteria,Acidobacteriota,NA,NA,Unclassified family,NA,NA,Not significant,FALSE
ASV_838,16.726651064628584,1.7245458885878582,2.9653958968520007,0.5815567123494703,0.5608653076347188,0.8822259703875845,NA,Unclassified phylum,NA,NA,Unclassified family,NA,NA,Not significant,FALSE
ASV_507,21.122084523053058,1.7362959044712674,3.051173957801241,0.5690583127952789,0.5693165674963241,0.8920472772515168,Bacteria,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,NA,NA,Not significant,FALSE
ASV_271,63.69601014961725,1.2841625359254591,2.261667993238501,0.5677944507171702,0.5701745483463303,0.8920472772515168,Bacteria,Pseudomonadota,Gammaproteobacteria_2,NA,Unclassified family,NA,NA,Not significant,FALSE
ASV_565,33.69169386169904,1.7205126040156944,3.0437152616699636,0.5652672658584097,0.5718919901137993,0.8922941709245653,NA,Unclassified phylum,NA,NA,Unclassified family,NA,NA,Not significant,FALSE
ASV_802,21.056151663747503,1.71442070173512,3.0448645135301855,0.5630531979721612,0.5733986596663014,0.8922941709245653,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,NA,NA,Not significant,FALSE
ASV_905,18.337048100914668,1.6837512050268917,3.0459712698833363,0.5527797394790861,0.5804142435917623,0.8966219395534577,NA,Unclassified phylum,NA,NA,Unclassified family,NA,NA,Not significant,FALSE
ASV_355,43.04539732147297,-1.432967552446811,2.594948005612149,-0.5522143601134596,0.5808014969272398,0.8966219395534577,Bacteria,Actinomycetota,Acidimicrobiia_2,Microtrichales_2,Microtrichaceae_2,Incertae Sedis_124,NA,Not significant,FALSE
ASV_683,24.64354257320577,1.3453577021771261,2.4316418518862633,0.5532713220631199,0.5800776352810988,0.8966219395534577,NA,Unclassified phylum,NA,NA,Unclassified family,NA,NA,Not significant,FALSE
ASV_611,27.051013862405995,1.5781763403708624,2.8885108032610676,0.5463633158612856,0.5848162212671455,0.8980555165632682,Bacteria,Pseudomonadota,Alphaproteobacteria_2,Hyphomicrobiales,Hyphomicrobiaceae_2,Filomicrobium_2,NA,Not significant,FALSE
ASV_689,28.505919252487313,-1.558475230389816,2.8408855039599064,-0.5485878358059343,0.5832883355629507,0.8980555165632682,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,NA,NA,Not significant,FALSE
ASV_764,21.674318816176097,-1.6341928156560348,3.0454120174078905,-0.5366081194645649,0.5915383344066899,0.8983499647218595,Bacteria,Pseudomonadota,Gammaproteobacteria_2,Pseudomonadales_2,KI89A clade_2,Incertae Sedis_945,NA,Not significant,FALSE
ASV_848,20.621346630702043,-1.535489842564822,2.868168205025354,-0.5353555763830276,0.5924040024895216,0.8983499647218595,NA,Unclassified phylum,NA,NA,Unclassified family,NA,NA,Not significant,FALSE
ASV_38,396.86260325257206,1.3948962476121,2.5843763672134528,0.5397419142615503,0.5893750300496312,0.8983499647218595,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Rubinisphaeraceae,NA,NA,Not significant,FALSE
ASV_76,192.56921458286243,-1.1871055030715454,2.222744844275465,-0.5340718733996205,0.593291808578331,0.8983499647218595,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,NA,NA,Not significant,FALSE
ASV_54,282.86474372097456,-1.1766226396412203,2.2247369788623677,-0.5288816839116385,0.5968875286369184,0.8983499647218595,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,NA,NA,Not significant,FALSE
