term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),-31.96338165682952,14.543517913637029,-2.197775108239692,0.03315230086461773,-61.255530372935155,-2.671232940723879
beadsmixed,0.32226221380027437,0.6709023705508101,0.48034144451702776,0.6333115404508001,-1.0290045243343058,1.6735289519348546
influent_doc,0.5447412738147165,0.21292220441868212,2.5584051945261566,0.01395124033514319,0.11589394032706846,0.9735886073023645
water_labSanta Barbara Channel,9.060934081883014,4.32055575762342,2.0971686491709813,0.041628616792059696,0.3588880886050312,17.762980075160996
water_labUCSB intake,3.77012520723087,2.3961985505027816,1.5733776345202297,0.12263676826078904,-1.0560664137681552,8.596316828229895
trt_lab75 m,-2.2446038996765356,1.8589027243439684,-1.207488627716486,0.23355243959249777,-5.988626176377561,1.4994183770244893
trt_labambient,-0.42134443535813837,2.637460029272178,-0.15975386571997102,0.8737898898122812,-5.733461618353009,4.890772747636732
trt_labdiatom exudate,NA,NA,NA,NA,NA,NA
trt_labsurface,-2.9507683115068493,3.708549799224415,-0.7956663578102567,0.43040324321068046,-10.420171029958126,4.518634406944429
flow_rate_ml_min,-0.20419056215941678,0.08390591139808906,-2.4335658686864243,0.018985561585650363,-0.373185742653444,-0.03519538166538955
