treatment,beads,hour1,hour2,n_bioreactors,mean_change_doc,sd_change_doc,median_change_doc,max_abs_change_doc,all_changes_below_analytical_threshold
ambient,homogeneous,3,4,2,1.0447368421052659,1.4948485461926058,1.0447368421052659,2.1017543859649095,FALSE
ambient,homogeneous,4,5,2,0.23421052631579187,0.6041421095400764,0.23421052631579187,0.6614035087719259,TRUE
ambient,homogeneous,4,6,2,0.7745614035087769,1.2020815280171329,0.7745614035087769,1.6245614035087783,FALSE
ambient,mixed,3,4,2,1.4401041666666679,0.028235166609875594,1.4401041666666679,1.4600694444444429,TRUE
ambient,mixed,4,5,2,-2.0000000000000036,2.0108349089992497,-2.0000000000000036,3.421875000000007,FALSE
ambient,mixed,4,6,2,-0.722222222222225,0.7144724768239057,-0.722222222222225,1.2274305555555571,TRUE
diatom exudate,homogeneous,3,4,2,1.1059027777777821,0.3584638543515176,1.1059027777777821,1.359375000000007,TRUE
diatom exudate,homogeneous,4,5,2,-0.3350694444444464,0.10311973892303986,-0.3350694444444464,0.40798611111111427,TRUE
diatom exudate,mixed,3,4,2,0.28951890034364425,0.6159847733016923,0.28951890034364425,0.725085910652929,TRUE
diatom exudate,mixed,4,5,2,-0.08075601374570596,0.3426187496470964,-0.08075601374570596,0.3230240549828238,TRUE
diatom exudate,mixed,4,6,2,0.09793814432989834,1.0205664883104824,0.09793814432989834,0.8195876288659818,TRUE
