metric,n_pairs,mean_difference,sd_difference,median_difference,minimum_difference,maximum_difference
retained_asvs,5,-37.8,310.39039933606193,67,-522,270
Shannon,5,0.10348742845340357,0.6208701897820267,-0.013770794934035102,-0.674527605924033,1.0264428457090906
Simpson,5,0.004192611253165146,0.008166530366887434,6.838367571044834e-4,-0.0012025794525873934,0.01861578316248047
