term,Sum Sq,Df,F value,Pr(>F)
beads,1.3893198149063437,1,0.23072790332070622,0.6333115404507991
influent_doc,39.41311555335517,1,6.545437139378435,0.013951240335143082
water_lab,26.483100204795107,1,4.398116343065655,0.04162861679205934
trt_lab,15.436660259879488,3,0.8545352475895217,0.4715861913447029
flow_rate_ml_min,35.660573359529565,1,5.922242837235532,0.018985561585650155
Residuals,270.9658899985106,45,NA,NA
