bioreactor,metric,Bottom,Top,difference_top_minus_bottom
5,retained_asvs,910,977,67
5,Shannon,6.12269147571033,6.108920680776295,-0.013770794934035102
5,Simpson,0.9947442704459768,0.995154883497056,4.1061305107925605e-4
6,retained_asvs,532,802,270
6,Shannon,5.003592138811449,6.030034984520539,1.0264428457090906
6,Simpson,0.976311472448489,0.9949272556109695,0.01861578316248047
8,retained_asvs,575,719,144
8,Shannon,5.681429045808967,5.95900148684041,0.2775724410314435
8,Simpson,0.9930131017871711,0.99546850453492,0.0024554027477489138
9,retained_asvs,835,313,-522
9,Shannon,6.010795953685438,5.336268347761405,-0.674527605924033
9,Simpson,0.9942298275708716,0.9930272481182842,-0.0012025794525873934
10,retained_asvs,857,709,-148
10,Shannon,5.981297723596034,5.883017979980586,-0.09827974361544811
10,Simpson,0.9931321716384485,0.993816008395553,6.838367571044834e-4
