term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),-30.255742708785107,14.002303466751826,-2.160768960666131,0.03619839254282931,-58.475531083198234,-2.0359543343719757
beadsmixed,-8.136534314935012,3.954691206613521,-2.057438593771392,0.04560015732555403,-16.106690739681785,-0.16637789018824023
influent_doc,0.5181262819910264,0.2050418773425592,2.5269290776410696,0.015176235971562512,0.10489153099175719,0.9313610329902956
water_labSanta Barbara Channel,9.683531969214824,4.163103286050762,2.3260369257859317,0.024687321179913024,1.2933485974478387,18.07371534098181
water_labUCSB intake,3.4980410189655857,2.3067912208626704,1.5164098889094193,0.1365679579090179,-1.1509912085725822,8.147073246503753
trt_lab75 m,-2.366401911724979,1.787775541565769,-1.3236571687586896,0.19245335290629725,-5.969426768580268,1.2366229451303106
trt_labambient,-0.047417935479607216,2.541150369525603,-0.018660027382975952,0.9851966777674979,-5.168769992007294,5.07393412104808
trt_labdiatom exudate,NA,NA,NA,NA,NA,NA
trt_labsurface,-3.549343816758689,3.5755641777055343,-0.9926667905696295,0.3263002413203706,-10.7554199208491,3.6567322873317223
flow_rate_ml_min,-0.1994849166566524,0.08068476605970934,-2.4723987736300446,0.017357933206774152,-0.36209437792497134,-0.036875455388333506
beadsmixed:influent_doc,0.13100050236913313,0.060426029821249574,2.1679481964420764,0.03561365830386855,0.00921984121501486,0.2527811635232514
