exp,date,days_conditioning,months_conditioning,influent_mean,influent_sd,influent_n_vials,mean_effluent_doc,sd_effluent_doc,mean_doc_removal,sd_doc_removal,n_bioreactors,n_exceeding_detection_limit,effluent_n_vials_min,effluent_n_vials_max,x_label,removal_label,exp_label,month_label,axis_label
BR14-1,2014-09-19,0,0,60.26908263305322,0.8690392111313071,6,59.29312558356676,0.7461582843207247,0.9759570494864604,0.7461582843207247,4,1,3,3,"BR14-1
2014-09-19
0.00 months","1.0
n=4",BR14-1,0.0 mo,"BR14-1
0.0 mo"
BR14-2,2014-09-30,11,0.3613963039014374,60.93814432989691,0.5226836883752496,6,61.67399770904925,0.2631520361984846,-0.7358533791523456,0.2631520361984846,4,0,2,3,"BR14-2
2014-09-30
0.36 months","-0.7
n=4",BR14-2,0.4 mo,"BR14-2
0.4 mo"
BR14-3,2014-10-14,25,0.8213552361396304,65.06118967452299,0.9009587640702453,6,65.72028058361391,0.7532435608470115,-0.6590909090909207,0.7532435608470115,4,0,3,3,"BR14-3
2014-10-14
0.82 months","-0.7
n=4",BR14-3,0.8 mo,"BR14-3
0.8 mo"
BR14-4,2014-10-16,27,0.8870636550308009,64.49354116344607,1.3573451020696206,6,64.1706244967794,0.8627944347565955,0.3229166666666714,0.8627944347565955,4,0,3,3,"BR14-4
2014-10-16
0.89 months","0.3
n=4",BR14-4,0.9 mo,"BR14-4
0.9 mo"
BR14-5,2014-10-24,35,1.1498973305954825,63.15412355040143,0.19308483040265195,3,61.14706140350878,0.8378405636107892,2.0070621468926504,0.8378405636107892,4,3,3,3,"BR14-5
2014-10-24
1.15 months","2.0
n=4",BR14-5,1.1 mo,"BR14-5
1.1 mo"
BR14-6,2014-10-30,41,1.3470225872689938,60.923997724089645,0.650493509377232,3,62.14797064659197,1.358530602902398,-1.2239729225023268,1.358530602902398,4,0,2,3,"BR14-6
2014-10-30
1.35 months","-1.2
n=4",BR14-6,1.3 mo,"BR14-6
1.3 mo"
BR14-7,2014-11-03,45,1.4784394250513346,63.52521657250471,0.669684192004285,3,61.74202448210923,0.54713061059559,1.783192090395481,0.54713061059559,4,3,3,3,"BR14-7
2014-11-03
1.48 months","1.8
n=4",BR14-7,1.5 mo,"BR14-7
1.5 mo"
BR14-8,2014-11-15,57,1.8726899383983573,72.74939530367233,0.11746114625024186,3,71.75904690442562,0.9441383058753103,0.990348399246713,0.9441383058753103,4,2,2,3,"BR14-8
2014-11-15
1.87 months","1.0
n=4",BR14-8,1.9 mo,"BR14-8
1.9 mo"
BR15-1,2015-03-10,172,5.650924024640657,62.86393274853801,1.0216460966971324,6,57.45972517431399,2.0248017583517623,5.404207574224024,2.0248017583517623,4,4,1,2,"BR15-1
2015-03-10
5.65 months","5.4
n=4",BR15-1,5.7 mo,"BR15-1
5.7 mo"
