exp,date,water_lab,trt_lab,flow_rate_ml_min,hours_elapsed,bioreactor,beads,effluent_mean,effluent_sd,effluent_se,effluent_n_vials,influent_mean,influent_sd,influent_se,influent_n_vials,doc_removal,pct_removal,source_treatment,flow_label,experiment_condition,site,condition
BR15-3,2015-03-19,UCSB intake,ambient,4,4,1,homogeneous,57.94291872645952,0.38084641976284656,0.21988178296998467,3,61.48623322740114,0.60274834179397,0.24607098011731646,6,3.5433145009416194,5.762776990805404,UCSB intake,4 mL min⁻¹,BR15-3,UCSB intake,Surface/ambient
BR15-3,2015-03-19,UCSB intake,ambient,4,4,2,homogeneous,60.167965807438804,0.8546275476386445,0.4934194446860411,3,61.48623322740114,0.60274834179397,0.24607098011731646,6,1.318267419962332,2.1440041953567754,UCSB intake,4 mL min⁻¹,BR15-3,UCSB intake,Surface/ambient
BR15-4,2015-04-06,UCSB intake,ambient,20,4,1,homogeneous,59.40949103045473,0.9754061627005883,0.6897163120567349,2,59.811973299958275,0.5875905428761499,0.23988283462192142,6,0.40248226950354393,0.6729125412483669,UCSB intake,20 mL min⁻¹,"BR15-4
20 mL min⁻¹",UCSB intake,Surface/ambient
BR15-4,2015-04-06,UCSB intake,ambient,20,4,3,homogeneous,60.7889236545682,2.5500978598110584,1.8031914893617011,2,59.811973299958275,0.5875905428761499,0.23988283462192142,6,-0.9769503546099259,-1.6333692080522069,UCSB intake,20 mL min⁻¹,"BR15-4
20 mL min⁻¹",UCSB intake,Surface/ambient
BR15-4,2015-04-06,UCSB intake,ambient,20,4,5,mixed,58.75346266166041,0.8751073284897269,0.6187943262411295,2,59.811973299958275,0.5875905428761499,0.23988283462192142,6,1.058510638297868,1.769730339758923,UCSB intake,20 mL min⁻¹,"BR15-4
20 mL min⁻¹",UCSB intake,Surface/ambient
BR15-4,2015-04-06,UCSB intake,ambient,20,4,7,mixed,60.11693783896538,0.7873458485552427,0.5567375886524886,2,59.811973299958275,0.5875905428761499,0.23988283462192142,6,-0.3049645390071021,-0.5098720576860065,UCSB intake,20 mL min⁻¹,"BR15-4
20 mL min⁻¹",UCSB intake,Surface/ambient
BR15-4,2015-04-06,UCSB intake,ambient,4,4,1,homogeneous,53.6286398467433,0.9529686217715225,0.6738505747126418,2,59.811973299958275,0.5875905428761499,0.23988283462192142,6,6.183333453214978,10.337952607257135,UCSB intake,4 mL min⁻¹,"BR15-4
4 mL min⁻¹",UCSB intake,Surface/ambient
BR15-4,2015-04-06,UCSB intake,ambient,4,4,3,homogeneous,55.24070881226054,0.5343939179656997,0.3778735632183938,2,59.811973299958275,0.5875905428761499,0.23988283462192142,6,4.571264487697732,7.642724751401775,UCSB intake,4 mL min⁻¹,"BR15-4
4 mL min⁻¹",UCSB intake,Surface/ambient
BR15-4,2015-04-06,UCSB intake,ambient,4,4,5,mixed,54.03812260536398,0.7355536057170456,0.520114942528739,2,59.811973299958275,0.5875905428761499,0.23988283462192142,6,5.7738506945942945,9.653335905903514,UCSB intake,4 mL min⁻¹,"BR15-4
4 mL min⁻¹",UCSB intake,Surface/ambient
BR15-4,2015-04-06,UCSB intake,ambient,4,4,7,mixed,60.42605363984674,NA,NA,1,59.811973299958275,0.5875905428761499,0.23988283462192142,6,-0.6140803398884671,-1.0266846352131564,UCSB intake,4 mL min⁻¹,"BR15-4
4 mL min⁻¹",UCSB intake,Surface/ambient
