exp,date,water_lab,trt_lab,flow_rate_ml_min,hours_elapsed,bioreactor,beads,effluent_mean,effluent_sd,effluent_se,effluent_n_vials,influent_mean,influent_sd,influent_se,influent_n_vials,doc_removal,pct_removal,source_treatment,flow_label,experiment_condition,site,condition
BR15-5,2015-04-08,UCSB intake,ambient,4,4,1,homogeneous,57.58922716627635,1.3061547733087147,0.754108809973101,3,61.40707780379912,0.5950014246477099,0.34352423268856613,3,3.817850637522767,6.217281092126102,UCSB intake,4 mL min⁻¹,BR15-5,UCSB intake,Surface/ambient
BR15-5,2015-04-08,UCSB intake,ambient,4,4,5,mixed,57.717187093416605,0.7438145102645357,0.525956284153004,2,61.40707780379912,0.5950014246477099,0.34352423268856613,3,3.689890710382514,6.008901322697737,UCSB intake,4 mL min⁻¹,BR15-5,UCSB intake,Surface/ambient
BR15-6,2015-04-14,UCSB intake,ambient,4,4,1,homogeneous,53.8632298136646,0.12297509238026717,0.08695652173912904,2,55.95670807453416,0.41517375899438286,0.20758687949719143,4,2.09347826086956,3.7412462828961512,UCSB intake,4 mL min⁻¹,BR15-6,UCSB intake,Surface/ambient
BR15-6,2015-04-14,UCSB intake,ambient,4,4,3,homogeneous,53.21250517598344,0.5636358400762266,0.3985507246376762,2,55.95670807453416,0.41517375899438286,0.20758687949719143,4,2.744202898550725,4.904153573322175,UCSB intake,4 mL min⁻¹,BR15-6,UCSB intake,Surface/ambient
BR15-6,2015-04-14,UCSB intake,ambient,4,4,5,mixed,54.64438923395445,0.4365615779499507,0.3086956521739097,2,55.95670807453416,0.41517375899438286,0.20758687949719143,4,1.3123188405797137,2.3452395355918885,UCSB intake,4 mL min⁻¹,BR15-6,UCSB intake,Surface/ambient
BR15-6,2015-04-14,Santa Barbara Channel,surface,4,4,1,homogeneous,54.263229813664594,0.20085931755443823,0.1420289855072454,2,63.74946169772256,0.5130209607766298,0.2565104803883149,4,9.486231884057965,14.880489389915677,Santa Barbara Channel surface,4 mL min⁻¹,BR15-6,Santa Barbara Channel,Surface/ambient
BR15-6,2015-04-14,Santa Barbara Channel,surface,4,4,3,homogeneous,54.32989648033126,0.6845613475835045,0.4840579710144972,2,63.74946169772256,0.5130209607766298,0.2565104803883149,4,9.419565217391302,14.77591334348132,Santa Barbara Channel surface,4 mL min⁻¹,BR15-6,Santa Barbara Channel,Surface/ambient
BR15-6,2015-04-14,Santa Barbara Channel,surface,4,4,5,mixed,53.155983436853,0.8813214953919289,0.6231884057971016,2,63.74946169772256,0.5130209607766298,0.2565104803883149,4,10.59347826086956,16.61736111765162,Santa Barbara Channel surface,4 mL min⁻¹,BR15-6,Santa Barbara Channel,Surface/ambient
BR15-6,2015-04-14,Santa Barbara Channel,surface,4,4,7,mixed,60.37627329192547,0.7911397609797367,0.5594202898550762,2,63.74946169772256,0.5130209607766298,0.2565104803883149,4,3.3731884057970873,5.2913206103473565,Santa Barbara Channel surface,4 mL min⁻¹,BR15-6,Santa Barbara Channel,Surface/ambient
BR15-6,2015-04-14,Santa Barbara Channel,75 m,4,4,1,homogeneous,48.35394670688788,0.8239506367672285,0.582621082621081,2,51.48832467459918,0.8234669701556717,0.41173348507783586,4,3.134377967711295,6.087550891430698,Santa Barbara Channel 75 m,4 mL min⁻¹,BR15-6,Santa Barbara Channel,75 m
BR15-6,2015-04-14,Santa Barbara Channel,75 m,4,4,3,homogeneous,49.45793531087649,0.21354221881987165,0.15099715099715283,2,51.48832467459918,0.8234669701556717,0.41173348507783586,4,2.0303893637226835,3.943397608204446,Santa Barbara Channel 75 m,4 mL min⁻¹,BR15-6,Santa Barbara Channel,75 m
BR15-6,2015-04-14,Santa Barbara Channel,75 m,4,4,5,mixed,48.52203787497904,0.67890309190845,0.4800569800569789,2,51.48832467459918,0.8234669701556717,0.41173348507783586,4,2.9662867996201356,5.761086262500786,Santa Barbara Channel 75 m,4 mL min⁻¹,BR15-6,Santa Barbara Channel,75 m
BR15-6,2015-04-14,Santa Barbara Channel,75 m,4,4,7,mixed,50.63884699178816,0.8078342428940393,0.5712250712250757,2,51.48832467459918,0.8234669701556717,0.41173348507783586,4,0.8494776828110204,1.6498452575018328,Santa Barbara Channel 75 m,4 mL min⁻¹,BR15-6,Santa Barbara Channel,75 m
BR15-6,2015-04-14,Santa Barbara Channel,200 m,4,4,1,homogeneous,46.62887548181665,0.294124188185853,0.20797720797720487,2,48.35608345902463,0.8544994222908384,0.4272497111454192,4,1.727207977207982,3.5718525026361196,Santa Barbara Channel 200 m,4 mL min⁻¹,BR15-6,Santa Barbara Channel,200 m
BR15-6,2015-04-14,Santa Barbara Channel,200 m,4,4,3,homogeneous,44.20152505446623,0.9710127308601625,0.6866096866096888,2,48.35608345902463,0.8544994222908384,0.4272497111454192,4,4.154558404558401,8.591594081598519,Santa Barbara Channel 200 m,4 mL min⁻¹,BR15-6,Santa Barbara Channel,200 m
BR15-6,2015-04-14,Santa Barbara Channel,200 m,4,4,5,mixed,46.08471593765711,2.171684074413386,1.535612535612536,2,48.35608345902463,0.8544994222908384,0.4272497111454192,4,2.271367521367523,4.697170157074871,Santa Barbara Channel 200 m,4 mL min⁻¹,BR15-6,Santa Barbara Channel,200 m
BR15-6,2015-04-14,Santa Barbara Channel,200 m,4,4,7,mixed,45.3753142282554,0.9146053523039626,0.6467236467236432,2,48.35608345902463,0.8544994222908384,0.4272497111454192,4,2.9807692307692335,6.164207308673044,Santa Barbara Channel 200 m,4 mL min⁻¹,BR15-6,Santa Barbara Channel,200 m
BR15-7,2015-07-17,UCSB intake,ambient,4,4,1,homogeneous,56.73004493464052,0.8544206939337466,0,1,61.36835511982571,0.7905846650766272,0,1,4.6383101851851904,7.558146500958984,UCSB intake,4 mL min⁻¹,BR15-7,UCSB intake,Surface/ambient
BR15-7,2015-07-17,UCSB intake,ambient,4,4,2,homogeneous,58.69185049019608,3.235995616680111,0,1,61.36835511982571,0.7905846650766272,0,1,2.676504629629626,4.361375866117931,UCSB intake,4 mL min⁻¹,BR15-7,UCSB intake,Surface/ambient
BR15-7,2015-07-17,UCSB intake,ambient,4,4,3,homogeneous,59.157128267973846,0.7905846650766222,0,1,61.36835511982571,0.7905846650766272,0,1,2.211226851851862,3.6032037155538834,UCSB intake,4 mL min⁻¹,BR15-7,UCSB intake,Surface/ambient
BR15-7,2015-07-17,UCSB intake,ambient,4,4,4,homogeneous,57.61025326797386,0.08102265201096025,0,1,61.36835511982571,0.7905846650766272,0,1,3.7581018518518476,6.123843216123211,UCSB intake,4 mL min⁻¹,BR15-7,UCSB intake,Surface/ambient
BR15-7,2015-07-17,UCSB intake,ambient,4,4,5,mixed,57.235253267973846,0.5033225352195922,0,1,61.36835511982571,0.7905846650766272,0,1,4.133101851851862,6.73490733747338,UCSB intake,4 mL min⁻¹,BR15-7,UCSB intake,Surface/ambient
BR15-7,2015-07-17,UCSB intake,ambient,4,4,6,mixed,55.82032271241829,0.7169277087030301,0,1,61.36835511982571,0.7905846650766272,0,1,5.548032407407419,9.04054279534546,UCSB intake,4 mL min⁻¹,BR15-7,UCSB intake,Surface/ambient
BR15-7,2015-07-17,UCSB intake,ambient,4,4,7,mixed,56.707475490196074,0.3019935211317463,0,1,61.36835511982571,0.7905846650766272,0,1,4.660879629629633,7.594923508262463,UCSB intake,4 mL min⁻¹,BR15-7,UCSB intake,Surface/ambient
BR15-7,2015-07-17,UCSB intake,ambient,4,4,8,mixed,58.66233660130719,2.094312792889319,0,1,61.36835511982571,0.7905846650766272,0,1,2.706018518518519,4.409468875668644,UCSB intake,4 mL min⁻¹,BR15-7,UCSB intake,Surface/ambient
BR15-7,2015-07-17,Goleta Pier,surface,4,4,1,homogeneous,72.80758082497212,0.6948092719485314,0.49130434782609456,2,81.7742474916388,0.6159471440537829,0.30797357202689146,4,8.966666666666683,10.965147270335322,Goleta Pier surface,4 mL min⁻¹,BR15-7,Goleta Pier,Surface/ambient
BR15-7,2015-07-17,Goleta Pier,surface,4,4,2,homogeneous,75.61482720178373,0.09428090415820098,0.06666666666666288,2,81.7742474916388,0.6159471440537829,0.30797357202689146,4,6.159420289855078,7.532224971541146,Goleta Pier surface,4 mL min⁻¹,BR15-7,Goleta Pier,Surface/ambient
BR15-7,2015-07-17,Goleta Pier,surface,4,4,3,homogeneous,70.38149386845039,1.2645938666437762,0.8942028985507307,2,81.7742474916388,0.6159471440537829,0.30797357202689146,4,11.392753623188412,13.931957765008221,Goleta Pier surface,4 mL min⁻¹,BR15-7,Goleta Pier,Surface/ambient
BR15-7,2015-07-17,Goleta Pier,surface,4,4,4,homogeneous,79.08439241917503,0.9551065508200862,0.6753623188405768,2,81.7742474916388,0.6159471440537829,0.30797357202689146,4,2.6898550724637715,3.289366952277735,Goleta Pier surface,4 mL min⁻¹,BR15-7,Goleta Pier,Surface/ambient
BR15-7,2015-07-17,Goleta Pier,surface,4,4,5,mixed,66.82352285395766,2.2381466813209014,1.582608695652176,2,81.7742474916388,0.6159471440537829,0.30797357202689146,4,14.950724637681148,18.28292536621608,Goleta Pier surface,4 mL min⁻¹,BR15-7,Goleta Pier,Surface/ambient
BR15-7,2015-07-17,Goleta Pier,surface,4,4,6,mixed,74.62207357859532,2.158212871273731,1.5260869565217445,2,81.7742474916388,0.6159471440537829,0.30797357202689146,4,7.152173913043484,8.746242408130719,Goleta Pier surface,4 mL min⁻¹,BR15-7,Goleta Pier,Surface/ambient
BR15-7,2015-07-17,Goleta Pier,surface,4,4,7,mixed,71.40468227424749,0.29309063683964487,0.2072463768115966,2,81.7742474916388,0.6159471440537829,0.30797357202689146,4,10.369565217391312,12.680722275618093,Goleta Pier surface,4 mL min⁻¹,BR15-7,Goleta Pier,Surface/ambient
BR15-7,2015-07-17,Goleta Pier,surface,4,4,8,mixed,73.7133779264214,2.4799976963354373,1.7536231884058038,2,81.7742474916388,0.6159471440537829,0.30797357202689146,4,8.060869565217402,9.857467127461618,Goleta Pier surface,4 mL min⁻¹,BR15-7,Goleta Pier,Surface/ambient
BR15-10,2015-09-10,Goleta Pier,surface,4,4,1,homogeneous,70.84270833333333,0.8123310045773989,0.5744047619047591,2,86.29657738095239,1.0004737752401744,0.5002368876200872,4,15.453869047619051,17.90785859258199,Goleta Pier surface,4 mL min⁻¹,BR15-10,Goleta Pier,Surface/ambient
BR15-10,2015-09-10,Goleta Pier,surface,4,4,5,mixed,71.25044642857142,3.1272639191762117,2.2113095238095184,2,86.29657738095239,1.0004737752401744,0.5002368876200872,4,15.046130952380963,17.435373926778684,Goleta Pier surface,4 mL min⁻¹,BR15-10,Goleta Pier,Surface/ambient
BR15-11,2015-09-23,Goleta Pier,surface,4,4,1,homogeneous,79.98816635160681,0,0,1,85.01207939508504,1.2019293575307577,0.8498923992171891,2,5.023913043478231,5.909646110560481,Goleta Pier surface,4 mL min⁻¹,BR15-11,Goleta Pier,Surface/ambient
BR16-1,2016-01-21,Goleta Pier,surface,4,7,1,homogeneous,66.7568612391193,1.0593929553260866,0.7491039426523329,2,72.08661034306196,0.17482076556640586,0.10093281605970089,3,5.32974910394266,7.393535468762164,Goleta Pier surface,4 mL min⁻¹,BR16-1,Goleta Pier,Surface/ambient
BR16-1,2016-01-22,Goleta Pier,surface,4,7,1,homogeneous,78.9993940945554,0.7741797202181047,0.4469728698690719,3,84.82137736815156,0.5271620447555585,0.3727598566308217,2,5.82198327359616,6.863816002806598,Goleta Pier surface,4 mL min⁻¹,BR16-1,Goleta Pier,Surface/ambient
BR16-1,2016-01-23,Goleta Pier,surface,4,7,1,homogeneous,72.96713603003926,0.4741805893559593,0.2737682909091585,3,78.88230926779315,0.3092008147123939,0.21863799283153892,2,5.915173237753891,7.498732342726934,Goleta Pier surface,4 mL min⁻¹,BR16-1,Goleta Pier,Surface/ambient
BR16-1,2016-01-24,Goleta Pier,surface,4,7,1,homogeneous,74.64455538487796,0.7499723433991017,0.43299673434624586,3,78.04718381976447,0.7755364696884696,0.44775618954101,3,3.402628434886509,4.359706870070097,Goleta Pier surface,4 mL min⁻¹,BR16-1,Goleta Pier,Surface/ambient
BR16-2,2016-10-11,Stearns Wharf,surface,4,7,5,mixed,64.08876262626262,0.09106678242553777,0.06439393939393766,2,75.3747474747475,1.9098485850171658,0.9549242925085829,4,11.285984848484873,14.97316439072114,Stearns Wharf surface,4 mL min⁻¹,BR16-2,Stearns Wharf,Surface/ambient
BR16-3,2016-10-11,Goleta Pier,surface,4,7,5,mixed,66.56988636363637,0.4660476512365863,0.32954545454545325,2,77.27253787878789,1.2615427800714623,0.8920454545454602,2,10.702651515151516,13.850524143441527,Goleta Pier surface,4 mL min⁻¹,BR16-3,Goleta Pier,Surface/ambient
BR16-3,2016-10-11,Goleta Pier,diatom lysate,4,7,5,mixed,68.06103437691837,0.6172534333009658,0.4364640883977912,2,87.3409607120933,3.2555560828109917,2.302025782688766,2,19.279926335174935,22.074323636911195,Goleta Pier + diatom lysate,4 mL min⁻¹,BR16-3,Goleta Pier,Diatom lysate
BR17-1,2017-05-12,UCSB intake,ambient,4,7,5,mixed,51.094326990838624,0.5066497186071908,0.3582554517134007,2,55.64083861874559,1.8058758231050822,1.2769470404984418,2,4.546511627906966,8.171177395545635,UCSB intake,4 mL min⁻¹,BR17-1,UCSB intake,Surface/ambient
BR17-2,2017-05-17,Goleta Pier,surface,4,7,5,mixed,60.67500870776734,0.4334754214170443,0.3065134099616884,2,68.71907001044931,0.20861004655695917,0.1475095785440672,2,8.044061302681975,11.70571909872879,Goleta Pier surface,4 mL min⁻¹,BR17-2,Goleta Pier,Surface/ambient
