	domain	phylum	class	order	family	genus	species
ASV_1	Bacteria	Pseudomonadota	Gammaproteobacteria_2	Enterobacterales_2	Vibrionaceae_2	NA	NA
ASV_2	Bacteria	Pseudomonadota	Gammaproteobacteria_2	NA	NA	NA	NA
ASV_3	Bacteria	Pseudomonadota	Gammaproteobacteria_2	Pseudomonadales_2	SAR86 clade_2	Incertae Sedis_952	NA
ASV_4	Archaea	Thermoproteota	Nitrososphaeria_2	Nitrosopumilales_2	Nitrosopumilaceae_2	NA	NA
ASV_5	Bacteria	Pseudomonadota	Gammaproteobacteria_2	Enterobacterales_2	Vibrionaceae_2	NA	NA
ASV_6	Archaea	Thermoproteota	Nitrososphaeria_2	Nitrosopumilales_2	Nitrosopumilaceae_2	Candidatus Nitrosopumilus_2	NA
ASV_7	NA	NA	NA	NA	NA	NA	NA
ASV_8	Bacteria	Pseudomonadota	Alphaproteobacteria_2	Rhodobacterales_2	Paracoccaceae	NA	NA
ASV_9	Bacteria	Pseudomonadota	Gammaproteobacteria_2	NA	NA	NA	NA
ASV_10	Bacteria	Pseudomonadota	Alphaproteobacteria_2	Pelagibacterales	Clade I_2	Clade Ia_2	NA
ASV_11	Bacteria	Pseudomonadota	Alphaproteobacteria_2	Rhodobacterales_2	Paracoccaceae	NA	NA
ASV_12	NA	NA	NA	NA	NA	NA	NA
ASV_13	Bacteria	Pseudomonadota	Alphaproteobacteria_2	Rhodobacterales_2	Paracoccaceae	NA	NA
ASV_14	Bacteria	Pseudomonadota	Gammaproteobacteria_2	Pseudomonadales_2	Saccharospirillaceae_2	Incertae Sedis_951	NA
ASV_15	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Opitutales_2	Puniceicoccaceae_2	MB11C04 marine group_2	NA
ASV_16	Bacteria	Pseudomonadota	Alphaproteobacteria_2	Pelagibacterales	Clade I_2	NA	NA
ASV_17	Bacteria	Pseudomonadota	Alphaproteobacteria_2	Pelagibacterales	Clade II_2	Incertae Sedis_803	NA
