	N-Amend-BR5-10-FT_S119_F_filt.fastq	N-Amend-C-T4_S125_F_filt.fastq	N-Amend-D-T4_S126_F_filt.fastq	N-Amend-T0_S124_F_filt.fastq	N-BR10-B_S107_F_filt.fastq	N-BR10-T_S108_F_filt.fastq	N-BR5-B_S99_F_filt.fastq	N-BR5-T_S100_F_filt.fastq	N-BR6-B_S101_F_filt.fastq	N-BR6-T_S102_F_filt.fastq	N-BR8-B_S103_F_filt.fastq	N-BR8-T_S104_F_filt.fastq	N-BR9-B_S105_F_filt.fastq	N-BR9-T_S106_F_filt.fastq	N-Control-A-T4_S122_F_filt.fastq	N-Control-B-T4_S123_F_filt.fastq	N-Control-T0_S121_F_filt.fastq	N-NEG_S128_F_filt.fastq
ASV_1062	0	0	0	0	0	30	0	106	0	0	0	0	0	0	0	0	0	0
ASV_1063	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1064	78	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0
ASV_1065	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	55	0	0
ASV_1066	0	0	0	0	0	0	135	0	0	0	0	0	0	0	0	0	0	0
ASV_1067	0	0	0	0	0	0	111	0	0	0	24	0	0	0	0	0	0	0
ASV_1068	0	0	0	0	0	0	0	86	49	0	0	0	0	0	0	0	0	0
ASV_1069	0	0	0	0	0	0	0	30	0	18	0	0	0	87	0	0	0	0
ASV_1070	0	0	0	0	0	0	0	0	135	0	0	0	0	0	0	0	0	0
ASV_1071	0	0	0	0	0	0	0	0	0	58	0	77	0	0	0	0	0	0
ASV_1072	97	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1073	17	0	0	0	0	0	0	0	0	77	0	40	0	0	0	0	0	0
ASV_1074	0	51	44	22	0	0	0	0	0	0	0	0	0	0	0	17	0	0
ASV_1075	0	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1076	0	0	0	0	0	0	99	0	35	0	0	0	0	0	0	0	0	0
ASV_1077	0	0	0	0	0	0	29	105	0	0	0	0	0	0	0	0	0	0
ASV_1078	0	0	0	0	0	0	0	0	0	49	0	0	85	0	0	0	0	0
ASV_1079	0	0	0	0	0	101	0	0	0	32	0	0	0	0	0	0	0	0
ASV_1080	0	0	0	0	0	0	133	0	0	0	0	0	0	0	0	0	0	0
ASV_1081	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0	0	0
ASV_1082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0
ASV_1083	0	0	0	0	24	51	0	0	57	0	0	0	0	0	0	0	0	0
ASV_1084	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0
ASV_1085	0	0	0	0	0	0	0	0	0	0	0	11	0	121	0	0	0	0
ASV_1086	53	0	0	0	0	0	46	0	0	0	0	0	32	0	0	0	0	0
ASV_1087	0	0	0	0	28	0	56	0	0	17	0	30	0	0	0	0	0	0
ASV_1088	0	0	0	0	0	0	51	80	0	0	0	0	0	0	0	0	0	0
ASV_1089	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0	0	0	0
ASV_1090	0	45	72	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0
ASV_1091	0	0	0	0	34	0	0	96	0	0	0	0	0	0	0	0	0	0
ASV_1092	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1093	0	0	0	0	0	0	54	0	0	76	0	0	0	0	0	0	0	0
ASV_1094	0	0	0	0	0	0	31	27	7	36	19	0	10	0	0	0	0	0
ASV_1095	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0
ASV_1096	0	0	0	0	0	0	0	78	52	0	0	0	0	0	0	0	0	0
ASV_1097	0	0	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0
ASV_1098	0	0	0	0	71	0	0	0	0	0	0	0	58	0	0	0	0	0
ASV_1099	0	0	0	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1100	0	0	0	0	77	0	0	0	51	0	0	0	0	0	0	0	0	0
ASV_1101	0	0	0	0	29	0	65	0	0	23	11	0	0	0	0	0	0	0
ASV_1102	0	0	0	0	19	109	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1103	0	0	0	0	0	75	0	0	0	0	0	0	53	0	0	0	0	0
ASV_1104	0	0	0	0	0	0	39	89	0	0	0	0	0	0	0	0	0	0
ASV_1105	0	0	0	0	0	0	0	0	0	0	55	73	0	0	0	0	0	0
ASV_1106	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1107	0	0	0	0	27	0	0	0	0	42	23	10	25	0	0	0	0	0
ASV_1108	0	0	0	0	22	0	0	66	21	0	18	0	0	0	0	0	0	0
ASV_1109	0	0	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1110	0	0	0	0	0	0	51	0	56	0	0	0	20	0	0	0	0	0
ASV_1111	0	0	0	0	0	0	30	40	29	28	0	0	0	0	0	0	0	0
ASV_1112	0	0	0	0	0	0	0	30	0	43	0	54	0	0	0	0	0	0
ASV_1113	0	0	0	0	0	0	0	0	0	0	64	0	63	0	0	0	0	0
ASV_1114	0	0	0	0	0	0	0	0	0	0	0	0	0	127	0	0	0	0
ASV_1115	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1116	0	0	0	0	0	0	22	104	0	0	0	0	0	0	0	0	0	0
ASV_1117	0	0	0	0	0	0	0	0	0	49	0	49	28	0	0	0	0	0
ASV_1118	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0
ASV_1119	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1120	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1121	123	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ASV_1122	88	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0
ASV_1123	58	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0
ASV_1124	16	0	0	0	46	33	0	0	30	0	0	0	0	0	0	0	0	0
ASV_1125	0	61	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1126	0	0	0	0	51	0	74	0	0	0	0	0	0	0	0	0	0	0
ASV_1127	0	0	0	0	15	0	44	0	0	7	0	20	0	39	0	0	0	0
ASV_1128	0	0	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1129	0	0	0	0	0	0	82	0	0	0	0	43	0	0	0	0	0	0
ASV_1130	0	0	0	0	0	0	49	76	0	0	0	0	0	0	0	0	0	0
ASV_1131	0	0	0	0	0	0	0	125	0	0	0	0	0	0	0	0	0	0
ASV_1132	0	0	0	0	0	0	0	90	0	0	0	0	0	35	0	0	0	0
ASV_1133	0	0	0	0	0	0	0	0	125	0	0	0	0	0	0	0	0	0
ASV_1134	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1135	83	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0
ASV_1136	29	0	0	0	46	0	0	0	0	0	49	0	0	0	0	0	0	0
ASV_1137	0	29	0	0	0	0	0	0	0	0	0	0	0	0	56	39	0	0
ASV_1138	0	0	0	23	0	0	0	0	0	0	0	0	0	0	41	44	16	0
ASV_1139	0	0	0	0	48	76	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1140	0	0	0	0	0	0	33	45	0	0	11	25	10	0	0	0	0	0
ASV_1141	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0
ASV_1142	0	0	0	0	0	0	0	0	0	72	52	0	0	0	0	0	0	0
ASV_1143	99	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0
ASV_1144	0	0	0	0	22	0	0	0	0	73	28	0	0	0	0	0	0	0
ASV_1145	0	0	0	0	14	67	0	42	0	0	0	0	0	0	0	0	0	0
ASV_1146	0	0	0	0	5	118	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1147	0	0	0	0	0	123	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1148	0	0	0	0	0	80	0	43	0	0	0	0	0	0	0	0	0	0
ASV_1149	0	0	0	0	0	0	0	42	0	81	0	0	0	0	0	0	0	0
ASV_1150	90	0	0	0	0	0	6	0	0	0	0	26	0	0	0	0	0	0
ASV_1151	20	0	0	0	0	0	9	0	0	37	0	56	0	0	0	0	0	0
ASV_1152	0	21	0	0	42	0	0	0	0	0	0	0	0	0	0	59	0	0
ASV_1153	0	0	0	0	31	0	91	0	0	0	0	0	0	0	0	0	0	0
ASV_1154	0	0	0	0	23	0	0	0	0	0	50	0	49	0	0	0	0	0
ASV_1155	0	0	0	0	0	106	0	0	16	0	0	0	0	0	0	0	0	0
ASV_1156	0	0	0	0	0	0	70	52	0	0	0	0	0	0	0	0	0	0
ASV_1157	0	0	0	0	0	0	24	0	0	21	43	0	34	0	0	0	0	0
ASV_1158	0	0	0	0	0	0	16	0	0	33	0	73	0	0	0	0	0	0
ASV_1159	0	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0	0	0
ASV_1160	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1161	0	0	0	0	56	0	0	0	0	65	0	0	0	0	0	0	0	0
ASV_1162	0	0	0	0	34	0	0	0	87	0	0	0	0	0	0	0	0	0
ASV_1163	0	0	0	0	30	0	0	0	0	0	43	0	48	0	0	0	0	0
ASV_1164	0	0	0	0	14	0	62	45	0	0	0	0	0	0	0	0	0	0
ASV_1165	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0
ASV_1166	0	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0
ASV_1167	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0
ASV_1168	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1169	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1170	30	0	0	49	0	0	0	0	0	0	0	0	0	0	11	0	30	0
ASV_1171	0	52	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1172	0	0	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1173	0	0	0	0	0	33	0	0	0	0	0	52	0	35	0	0	0	0
ASV_1174	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0
ASV_1175	0	0	0	0	0	0	43	12	0	0	0	65	0	0	0	0	0	0
ASV_1176	0	0	0	0	0	0	26	0	0	0	0	0	0	94	0	0	0	0
ASV_1177	0	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	0	0
ASV_1178	0	0	0	0	0	0	0	59	0	0	0	61	0	0	0	0	0	0
ASV_1179	11	0	0	0	0	0	4	68	0	36	0	0	0	0	0	0	0	0
ASV_1180	0	0	0	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1181	0	0	0	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1182	0	0	0	0	0	0	0	53	66	0	0	0	0	0	0	0	0	0
ASV_1183	22	0	0	0	0	0	0	56	0	0	0	40	0	0	0	0	0	0
ASV_1184	16	0	0	0	0	0	0	0	0	38	0	0	0	64	0	0	0	0
ASV_1185	0	0	0	0	12	0	0	34	72	0	0	0	0	0	0	0	0	0
ASV_1186	0	0	0	0	0	95	0	0	0	0	0	23	0	0	0	0	0	0
ASV_1187	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0
ASV_1188	0	0	0	0	0	0	55	0	31	0	0	0	32	0	0	0	0	0
ASV_1189	0	10	60	0	0	0	0	0	0	0	0	0	0	0	32	15	0	0
ASV_1190	0	0	0	0	42	0	23	0	21	0	0	0	31	0	0	0	0	0
ASV_1191	0	0	0	0	15	0	46	13	32	0	0	0	11	0	0	0	0	0
ASV_1192	0	0	0	0	0	0	58	0	0	40	0	0	19	0	0	0	0	0
ASV_1193	0	0	0	0	0	0	55	0	0	17	32	13	0	0	0	0	0	0
ASV_1194	0	0	0	0	0	0	0	45	72	0	0	0	0	0	0	0	0	0
ASV_1195	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1196	32	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1197	0	0	0	0	67	0	0	0	49	0	0	0	0	0	0	0	0	0
ASV_1198	0	0	0	0	45	0	0	0	0	0	0	11	60	0	0	0	0	0
ASV_1199	0	0	0	0	29	35	4	0	13	0	12	0	23	0	0	0	0	0
ASV_1200	0	0	0	0	29	20	0	0	0	0	15	0	52	0	0	0	0	0
ASV_1201	0	0	0	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1202	0	0	0	0	0	0	116	0	0	0	0	0	0	0	0	0	0	0
ASV_1203	0	0	0	0	0	0	0	54	0	0	0	62	0	0	0	0	0	0
ASV_1204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	0
ASV_1205	15	0	0	0	0	0	0	76	24	0	0	0	0	0	0	0	0	0
ASV_1206	0	0	0	0	36	31	0	0	0	0	0	48	0	0	0	0	0	0
ASV_1207	0	0	0	0	33	31	26	0	0	0	25	0	0	0	0	0	0	0
ASV_1208	0	0	0	0	0	64	0	0	51	0	0	0	0	0	0	0	0	0
ASV_1209	0	0	0	0	0	27	0	42	0	0	46	0	0	0	0	0	0	0
ASV_1210	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1211	103	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0
ASV_1212	79	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0
ASV_1213	37	0	0	0	0	0	0	65	0	0	0	12	0	0	0	0	0	0
ASV_1214	0	0	0	27	14	15	0	0	0	30	0	0	10	0	0	0	18	0
ASV_1215	0	0	0	0	0	78	0	36	0	0	0	0	0	0	0	0	0	0
ASV_1216	0	0	0	0	0	52	0	0	0	0	0	62	0	0	0	0	0	0
ASV_1217	0	0	0	0	0	0	83	0	0	0	31	0	0	0	0	0	0	0
ASV_1218	0	0	0	0	0	0	0	0	0	61	0	53	0	0	0	0	0	0
ASV_1219	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0
ASV_1220	108	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
ASV_1221	0	0	0	0	42	0	0	0	0	0	32	0	39	0	0	0	0	0
ASV_1222	0	0	0	0	0	0	0	33	0	44	0	36	0	0	0	0	0	0
ASV_1223	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0
ASV_1224	0	0	0	0	0	0	0	0	0	75	0	38	0	0	0	0	0	0
ASV_1225	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0
ASV_1226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	82	0
ASV_1227	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1228	50	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1229	47	0	0	0	0	45	0	0	0	20	0	0	0	0	0	0	0	0
ASV_1230	35	0	0	52	0	0	0	0	0	0	0	0	0	0	0	16	9	0
ASV_1231	0	31	17	11	0	0	0	0	0	0	0	0	0	0	24	29	0	0
ASV_1232	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1233	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1234	0	0	0	0	0	0	60	52	0	0	0	0	0	0	0	0	0	0
ASV_1235	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0
ASV_1236	105	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1237	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1238	0	0	0	0	0	0	61	0	0	50	0	0	0	0	0	0	0	0
ASV_1239	0	0	0	0	0	0	0	0	0	96	0	15	0	0	0	0	0	0
ASV_1240	0	0	0	0	67	0	0	0	0	0	0	0	43	0	0	0	0	0
ASV_1241	0	0	0	0	41	0	0	0	33	0	36	0	0	0	0	0	0	0
ASV_1242	0	0	0	0	28	82	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1243	0	0	0	0	25	0	8	0	0	11	17	0	49	0	0	0	0	0
ASV_1244	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1245	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0
ASV_1246	0	0	0	0	0	0	0	0	0	28	0	0	82	0	0	0	0	0
ASV_1247	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0
ASV_1248	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1249	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1250	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1251	93	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0
ASV_1252	28	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	57	0
ASV_1253	0	0	0	0	16	0	45	0	0	22	0	0	26	0	0	0	0	0
ASV_1254	0	0	0	0	0	0	53	47	0	0	0	0	9	0	0	0	0	0
ASV_1255	0	0	0	0	0	0	51	58	0	0	0	0	0	0	0	0	0	0
ASV_1256	0	0	0	0	0	0	29	0	0	27	0	53	0	0	0	0	0	0
ASV_1257	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0	0	0
ASV_1258	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1259	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1260	0	64	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1261	0	0	0	0	48	13	0	0	0	0	0	0	34	13	0	0	0	0
ASV_1262	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1263	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1264	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1265	0	0	0	0	0	84	0	0	24	0	0	0	0	0	0	0	0	0
ASV_1266	0	0	0	0	0	0	0	0	0	0	0	108	0	0	0	0	0	0
ASV_1267	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1268	67	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1269	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1270	0	0	0	0	41	0	0	0	0	0	28	0	38	0	0	0	0	0
ASV_1271	0	0	0	0	0	41	0	0	66	0	0	0	0	0	0	0	0	0
ASV_1272	0	0	0	0	0	0	22	66	0	0	0	0	0	19	0	0	0	0
ASV_1273	0	0	0	0	0	0	15	0	0	10	39	0	43	0	0	0	0	0
ASV_1274	60	0	0	0	0	0	0	0	0	22	7	0	17	0	0	0	0	0
ASV_1275	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	43	0	0
ASV_1276	0	0	0	0	36	46	0	0	0	0	24	0	0	0	0	0	0	0
ASV_1277	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1278	0	0	0	0	0	91	0	0	0	15	0	0	0	0	0	0	0	0
ASV_1279	0	0	0	0	0	0	25	0	0	19	21	0	41	0	0	0	0	0
ASV_1280	0	0	0	0	0	0	0	0	0	0	0	0	0	106	0	0	0	0
ASV_1281	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1282	77	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0
ASV_1283	0	0	0	0	0	0	0	39	0	0	0	66	0	0	0	0	0	0
ASV_1284	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0
ASV_1285	0	0	0	0	43	61	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1286	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1287	0	0	0	0	0	91	0	0	0	0	0	13	0	0	0	0	0	0
ASV_1288	0	0	0	0	0	36	0	31	0	0	0	0	37	0	0	0	0	0
ASV_1289	0	0	0	0	0	0	40	47	0	0	0	17	0	0	0	0	0	0
ASV_1290	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0
ASV_1291	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0
ASV_1292	0	0	0	0	32	0	20	0	0	0	24	0	27	0	0	0	0	0
ASV_1293	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1294	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1295	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0
ASV_1296	0	0	0	0	0	0	0	99	0	4	0	0	0	0	0	0	0	0
ASV_1297	35	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0
ASV_1298	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1299	0	0	0	0	0	55	0	0	0	47	0	0	0	0	0	0	0	0
ASV_1300	0	0	0	0	0	0	77	0	12	13	0	0	0	0	0	0	0	0
ASV_1301	0	0	0	0	0	0	0	53	0	0	49	0	0	0	0	0	0	0
ASV_1302	0	0	0	0	0	0	0	0	0	61	0	41	0	0	0	0	0	0
ASV_1303	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1304	66	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0
ASV_1305	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1306	0	0	0	0	0	0	52	0	0	0	0	0	49	0	0	0	0	0
ASV_1307	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0
ASV_1308	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0
ASV_1309	21	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1310	0	29	24	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0
ASV_1311	0	0	0	0	22	40	29	0	0	9	0	0	0	0	0	0	0	0
ASV_1312	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1313	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0
ASV_1314	79	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0
ASV_1315	0	0	0	0	48	0	0	0	0	0	31	0	20	0	0	0	0	0
ASV_1316	0	0	0	0	42	0	0	0	0	57	0	0	0	0	0	0	0	0
ASV_1317	0	0	0	0	12	51	36	0	0	0	0	0	0	0	0	0	0	0
ASV_1318	0	0	0	0	0	0	40	59	0	0	0	0	0	0	0	0	0	0
ASV_1319	0	0	0	0	0	0	38	61	0	0	0	0	0	0	0	0	0	0
ASV_1320	0	0	0	0	0	0	0	41	0	0	0	58	0	0	0	0	0	0
ASV_1321	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0
ASV_1322	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1323	54	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0
ASV_1324	41	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0
ASV_1325	27	0	0	0	0	0	40	0	0	0	0	0	0	31	0	0	0	0
ASV_1326	0	35	21	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0
ASV_1327	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1328	0	0	0	0	0	26	0	0	72	0	0	0	0	0	0	0	0	0
ASV_1329	0	0	0	0	0	0	74	24	0	0	0	0	0	0	0	0	0	0
ASV_1330	0	0	0	0	0	0	53	18	0	0	27	0	0	0	0	0	0	0
ASV_1331	0	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0
ASV_1332	0	0	0	0	0	0	0	54	0	25	19	0	0	0	0	0	0	0
ASV_1333	0	0	0	0	0	0	0	14	0	0	0	0	0	84	0	0	0	0
ASV_1334	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0
ASV_1335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	78	0
ASV_1336	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1337	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1338	0	0	0	0	43	0	0	0	0	0	0	0	54	0	0	0	0	0
ASV_1339	0	0	0	0	15	0	0	0	51	18	13	0	0	0	0	0	0	0
ASV_1340	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1341	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0
ASV_1342	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0
ASV_1343	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0
ASV_1344	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0
ASV_1345	0	0	0	0	0	0	0	0	0	78	0	0	19	0	0	0	0	0
ASV_1346	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0
ASV_1347	0	0	0	0	33	63	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1348	0	0	0	0	8	0	14	53	0	0	0	0	21	0	0	0	0	0
ASV_1349	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1350	0	0	0	0	0	0	41	0	0	0	25	0	30	0	0	0	0	0
ASV_1351	0	0	0	0	0	0	5	0	0	0	0	91	0	0	0	0	0	0
ASV_1352	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0
ASV_1353	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0
ASV_1354	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0
ASV_1355	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0
ASV_1356	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1357	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1358	0	0	0	0	38	0	22	0	0	0	0	0	35	0	0	0	0	0
ASV_1359	0	0	0	0	33	0	0	0	0	0	25	0	37	0	0	0	0	0
ASV_1360	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1361	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1362	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0
ASV_1363	0	0	0	0	0	0	0	24	0	33	0	38	0	0	0	0	0	0
ASV_1364	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1365	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1366	34	0	0	0	0	0	0	0	22	38	0	0	0	0	0	0	0	0
ASV_1367	20	0	0	0	0	0	0	0	0	0	25	0	49	0	0	0	0	0
ASV_1368	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1369	0	0	0	0	0	0	61	0	0	0	33	0	0	0	0	0	0	0
ASV_1370	0	0	0	0	0	0	54	0	0	16	0	0	24	0	0	0	0	0
ASV_1371	0	0	0	0	0	0	27	0	0	0	0	67	0	0	0	0	0	0
ASV_1372	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0
ASV_1373	0	0	0	0	0	0	0	0	0	15	41	0	38	0	0	0	0	0
ASV_1374	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1375	0	0	0	0	28	0	0	0	21	44	0	0	0	0	0	0	0	0
ASV_1376	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1377	0	0	0	0	0	35	0	0	15	22	0	21	0	0	0	0	0	0
